Row ID;Order Date;Ship Date;Ship Mode;Customer Name;Segment;Country;City;State;Postal Code;Region;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
1;11/8/2016;11/11/2016;Second Class;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;Furniture;Bookcases;Bush Somerset Collection Bookcase;261.96;2;0;419.136
2;11/8/2016;11/11/2016;Second Class;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731.94;3;0;219.582
3;6/12/2016;6/16/2016;Second Class;Darrin Van Huff;Corporate;United States;Los Angeles;California;90036;West;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;14.62;2;0;68.714
4;10/11/2015;10/18/2015;Standard Class;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;9.575.775;5;0.45;-383.031
5;10/11/2015;10/18/2015;Standard Class;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;22.368;2;0.2;25.164
6;6/9/2014;6/14/2014;Standard Class;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48.86;7;0;141.694
7;6/9/2014;6/14/2014;Standard Class;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Art;Newell 322;7.28;4;0;19.656
8;6/9/2014;6/14/2014;Standard Class;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907.152;6;0.2;907.152
9;6/9/2014;6/14/2014;Standard Class;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;18.504;3;0.2;57.825
10;6/9/2014;6/14/2014;Standard Class;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;114.9;5;0;34.47
11;6/9/2014;6/14/2014;Standard Class;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;Furniture;Tables;Chromcraft Rectangular Conference Tables;1.706.184;9;0.2;853.092
12;6/9/2014;6/14/2014;Standard Class;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911.424;4;0.2;683.568
13;4/15/2017;4/20/2017;Standard Class;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;Office Supplies;Paper;Xerox 1967;15.552;3;0.2;54.432
14;12/5/2016;12/10/2016;Standard Class;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407.976;3;0.2;1.325.922
15;11/22/2015;11/26/2015;Standard Class;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68.81;5;0.8;-123.858
16;11/22/2015;11/26/2015;Standard Class;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2.544;3;0.8;-3.816
17;11/11/2014;11/18/2014;Standard Class;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665.88;6;0;133.176
18;5/13/2014;5/15/2014;Second Class;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West;Office Supplies;Storage;Fellowes Super Stor/Drawer;55.5;2;0;9.99
19;8/27/2014;9/1/2014;Second Class;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Art;Newell 341;8.56;2;0;24.824
20;8/27/2014;9/1/2014;Second Class;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;Technology;Phones;Cisco SPA 501G IP Phone;213.48;3;0.2;16.011
21;8/27/2014;9/1/2014;Second Class;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22.72;4;0.2;7.384
22;12/9/2016;12/13/2016;Standard Class;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;Office Supplies;Art;Newell 318;19.46;7;0;50.596
23;12/9/2016;12/13/2016;Standard Class;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;60.34;7;0;156.884
24;7/16/2017;7/18/2017;Second Class;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71.372;2;0.3;-10.196
25;9/25/2015;9/30/2015;Standard Class;Emily Burns;Consumer;United States;Orem;Utah;84057;West;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044.63;3;0;2.402.649
26;1/16/2016;1/20/2016;Second Class;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;Office Supplies;Binders;Wilson Jones Active Use Binders;11.648;2;0.2;42.224
27;1/16/2016;1/20/2016;Second Class;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90.57;3;0;117.741
28;9/17/2015;9/21/2015;Standard Class;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083.43;7;0.5;-16.650.522
29;9/17/2015;9/21/2015;Standard Class;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9.618;2;0.7;-70.532
30;9/17/2015;9/21/2015;Standard Class;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124.2;3;0.2;15.525
31;9/17/2015;9/21/2015;Standard Class;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Envelopes;Poly String Tie Envelopes;3.264;2;0.2;11.016
32;9/17/2015;9/21/2015;Standard Class;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86.304;6;0.2;97.092
33;9/17/2015;9/21/2015;Standard Class;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6.858;6;0.7;-5.715
34;9/17/2015;9/21/2015;Standard Class;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Art;Lumber Crayons;15.76;2;0.2;3.546
35;10/19/2017;10/23/2017;Second Class;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;Office Supplies;Paper;Easy-staple paper;29.472;3;0.2;99.468
36;12/8/2016;12/10/2016;First Class;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;Technology;Phones;GE 30524EE4;1.097.544;7;0.2;1.234.737
37;12/8/2016;12/10/2016;First Class;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190.92;5;0.6;-147.963
38;12/27/2015;12/31/2015;Standard Class;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113.328;9;0.2;35.415
39;12/27/2015;12/31/2015;Standard Class;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;5.323.992;3;0.32;-469.764
40;12/27/2015;12/31/2015;Standard Class;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;212.058;3;0.3;-15.147
41;12/27/2015;12/31/2015;Standard Class;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;Technology;Phones;Plantronics HL10 Handset Lifter;371.168;4;0.2;417.564
42;9/10/2017;9/15/2017;Standard Class;Linda Cazamias;Corporate;United States;Naperville;Illinois;60540;Central;Technology;Phones;Panasonic Kx-TS550;147.168;4;0.2;165.564
43;7/17/2016;7/22/2016;Standard Class;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77.88;2;0;3.894
44;9/19/2017;9/23/2017;Standard Class;Erin Smith;Corporate;United States;Melbourne;Florida;32935;South;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95.616;2;0.2;95.616
45;3/11/2016;3/13/2016;First Class;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45.98;2;0;197.714
46;3/11/2016;3/13/2016;First Class;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17.46;2;0;82.062
47;10/20/2014;10/25/2014;Second Class;Patrick O'Donnell;Consumer;United States;Westland;Michigan;48185;Central;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211.96;4;0;84.784
48;6/20/2016;6/25/2016;Standard Class;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45;3;0;4.95
49;6/20/2016;6/25/2016;Standard Class;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21.8;2;0;6.104
50;4/18/2015;4/22/2015;Standard Class;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38.22;6;0;179.634
51;4/18/2015;4/22/2015;Standard Class;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;Office Supplies;Labels;Avery 485;75.18;6;0;353.346
52;4/18/2015;4/22/2015;Standard Class;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;Furniture;Furnishings;Longer-Life Soft White Bulbs;6.16;2;0;29.568
53;4/18/2015;4/22/2015;Standard Class;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;Furniture;Chairs;Global Leather Task Chair, Black;89.99;1;0;170.981
54;12/11/2016;12/17/2016;Standard Class;Janet Molinari;Corporate;United States;New York City;New York;10024;East;Office Supplies;Fasteners;Advantus Push Pins;15.26;7;0;62.566
55;12/11/2016;12/17/2016;Standard Class;Janet Molinari;Corporate;United States;New York City;New York;10024;East;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029.95;5;0;2.986.855
